,Feature Importance,Feature
59,0.002811646042508906,sport_BLR
60,0.0027894946067476634,sport_COL
61,0.002753130092989484,sport_CZE
62,0.0026940761652371227,sport_SUI
63,0.0025872910996403583,sport_AUT
64,0.002502448751005246,sport_POR
65,0.002354003860771148,sport_AZE
66,0.002320498475935136,sport_KAZ
67,0.0022470781881109092,sport_UKR
68,0.002244013796653872,sport_TUR
69,0.00222672625836627,sport_GRE
70,0.0021585109810196147,sport_ETH
71,0.0019498057020000672,sport_IRL
72,0.0018845719578359863,sport_SLO
73,0.0017507856075861987,sport_FIJ
74,0.001717684210402997,sport_EGY
75,0.0016791813381019207,sport_BUL
76,0.0016339599803543734,sport_MAS
77,0.0015980737257253338,sport_SVK
78,0.0015898761470851835,sport_FIN
79,0.0015025863593480366,sport_UZB
80,0.0014572656430151393,sport_IND
81,0.0013771390709601014,sport_THA
82,0.0013658115482131777,sport_QAT
83,0.0013313401416724518,sport_LTU
84,0.0013069284917007979,sport_ISR
85,0.0012821670407342166,sport_GEO
86,0.0011912997216145572,sport_ARM
87,0.0011725854663921392,sport_TUN
88,0.0011376165318872872,sport_EST
89,0.0011058484912234749,sport_NGR
90,0.001064595461053283,sport_INA
91,0.001064085958535467,sport_BRN
92,0.001052510067146137,sport_ALG
93,0.001028184421918026,sport_HKG
94,0.0010233014653029122,sport_CHI
95,0.0008014366930917432,sport_BAH
96,0.0007897407130925778,sport_SIN
97,0.0007782878968785344,sport_LAT
98,0.0007305056996510512,sport_MGL
99,0.0005819698353005449,sport_BDI
100,0.00045074327011327965,sport_HON
101,0.0004298743886698446,sport_PER
102,0.0003972415134663676,sport_MDA
103,0.00038667829366320324,sport_MAR
104,0.00034254980072421815,sport_VIE
105,0.0003080272164331079,sport_SEN
106,0.000304593273754487,sport_ECU
107,0.0003019765289971114,sport_DOM
108,0.0002973576864721678,sport_CIV
109,0.0002913845475826429,sport_ANG
110,0.00028911131365175446,sport_UAE
111,0.0002649112864018288,sport_PHI
112,0.0002645072120940638,sport_KGZ
113,0.0002630559836616065,sport_CYP
114,0.0002456752451908208,sport_CMR
115,0.00023654833148516134,sport_ZIM
116,0.00023090076497433713,sport_IRQ
117,0.00021515063089025998,sport_ISL
118,0.00020989750789050782,sport_SEY
119,0.00018373768584898961,sport_KSA
120,0.00017928356480813881,sport_URU
121,0.00016796611944809968,sport_GAB
122,0.00015304162924247646,sport_JOR
123,0.00014834586574083192,sport_ANT
124,0.0001461568410444512,sport_LUX
125,0.00014286026647784126,sport_PAN
126,0.0001427603218344036,sport_LIB
127,0.00013059959918179843,sport_CRC
128,0.00012902861438019212,sport_GUA
129,0.0001206956915299651,sport_BAR
130,0.00010556602223953091,sport_ALB
131,0.00010101961385453594,sport_MLT
132,8.914823003529434e-05,sport_LCA
133,8.482329838794907e-05,sport_NOR
134,8.449177168368344e-05,sport_PLW
135,8.163954755062115e-05,sport_TKM
136,7.935359189595851e-05,sport_PAR
137,7.730431100020635e-05,sport_CAM
138,7.529618747807987e-05,sport_HAI
139,7.455121926708933e-05,sport_MRI
140,6.8552831802519e-05,sport_TGA
141,6.777579557681719e-05,sport_TAN
142,6.138468555082664e-05,sport_NEP
143,6.111786184008909e-05,sport_GBS
144,5.346639193567031e-05,sport_GHA
145,5.06120009778517e-05,sport_BEN
146,4.879432660179194e-05,sport_CPV
147,4.6885644823783855e-05,sport_GUI
148,4.634740866273562e-05,sport_BOL
149,4.159500678582526e-05,sport_TJK
150,4.1591445847743045e-05,sport_BIZ
151,4.044869449981118e-05,sport_ZAM
152,4.030493073656674e-05,sport_SUD
153,4.028129186204011e-05,sport_RWA
154,3.776155105771295e-05,sport_CGO
155,3.758622200426397e-05,sport_MLI
156,3.626228462560307e-05,sport_NRU
157,3.399918969029003e-05,sport_MAD
158,3.124723192303462e-05,sport_BUR
159,2.990025369267512e-05,sport_NIG
160,2.871771965200372e-05,sport_MKD
161,2.8278609658354805e-05,sport_MOZ
162,2.8242051239353003e-05,sport_BOT
163,2.7484740694401e-05,sport_BIH
164,2.6869535992455744e-05,sport_COM
165,2.6435777776813735e-05,sport_SAM
166,2.580386640979536e-05,sport_SKN
167,2.574686837730506e-05,sport_SRI
168,2.4870547385633457e-05,sport_PAK
169,2.290299392631513e-05,sport_NAM
170,2.136586478840053e-05,sport_FSM
171,2.0876607989665437e-05,sport_MAW
172,1.9672773294189483e-05,sport_DMA
173,1.726497535629408e-05,sport_GUY
174,1.5129159350161469e-05,sport_ESA
175,1.4202726989646856e-05,sport_NCA
176,1.3602679202285505e-05,sport_VIN
177,1.3235495935879602e-05,sport_CAF
178,1.294889352014937e-05,sport_MYA
179,1.201881221008553e-05,sport_AFG
180,1.1831394453075262e-05,sport_BRU
181,1.1285664309927073e-05,sport_DJI
182,9.510186253605338e-06,sport_LAO
183,9.424943627495857e-06,sport_CHA
184,8.010213392084955e-06,sport_OMA
185,3.458437427876627e-06,sport_YEM
186,3.10260524632016e-06,sport_VAN
187,2.8777350736222254e-06,sport_STP
188,2.5021871591599555e-06,sport_GEQ
